,name,stars,Ambience,RestaurantsPriceRange2,RestaurantsReservations,OutdoorSeating,RestaurantsAttire,BusinessAcceptsCreditCards,RestaurantsDelivery,Alcohol,BusinessParking,RestaurantsTakeOut,GoodForKids,GoodForKids,HasTV,RestaurantsGoodForGroups
17,Katana,3.0,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",2,True,False,u'casual',True,True,u'full_bar',"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': True}",True,True,True,True,True
18,Silk Road Gourmet Chinese,4.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': True, 'trendy': None, 'upscale': False, 'classy': False, 'casual': None}",2,True,False,u'casual',True,True,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
19,Steel City Steak House,2.5,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",2,True,False,u'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
20,Steak On a Stone,2.5,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",2,True,False,u'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",False,False,False,False,True
21,CK's Steak House,3.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",3,True,False,u'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,False,True,True
22,Ditka's Restaurant - Wexford,3.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': True, 'classy': True, 'casual': False}",3,True,True,'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,False,True,True
23,Cannon's Chop House,3.5,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}",2,True,True,u'casual',True,False,u'full_bar',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,True,True,True,True
24,Zach's Place,3.0,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",2,True,False,'casual',True,False,'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
25,Applebee's Grill + Bar,2.0,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",2,False,False,u'casual',True,True,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
26,Tornado Steak House,4.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': True, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",3,True,True,'casual',True,False,'full_bar',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",False,False,False,False,True
27,Issho Ni,4.0,NaN,2,True,False,NaN,True,False,u'none',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,NaN,NaN,True,NaN
28,Outback Steakhouse,2.5,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",2,True,False,u'casual',True,True,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
29,McCormick & Schmick's Seafood & Steaks,3.0,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': True, 'trendy': False, 'upscale': False, 'casual': False}",2,True,False,'casual',True,False,u'full_bar',"{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,False,False,True,True
30,Rex's Innkeeper,3.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",2,True,False,u'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
31,Outback Steakhouse,2.5,"{'touristy': None, 'hipster': False, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",2,False,False,'casual',True,True,'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
32,Arashi Japan,3.0,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",2,True,False,u'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
33,The Unicorn Restaurant & Pub,4.5,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",2,True,False,u'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
34,Timber Lodge,3.5,"{'touristy': False, 'hipster': False, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': False, 'upscale': None, 'classy': None, 'casual': True}",2,True,True,'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
35,Taverne Of Richfield,3.5,"{'romantic': False, 'intimate': True, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",2,True,True,'casual',True,True,'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
36,Square 22 Restaurant and Bar,4.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': True}",2,True,True,u'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",False,False,False,True,True
37,Toko Japanese Steak House,4.0,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",2,True,False,'casual',True,True,'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,True,True
38,Lakewood Village Tavern,3.5,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': True, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",1,False,False,'casual',True,True,'full_bar',None,True,False,False,True,True
39,Atami Japan,4.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",2,True,False,'casual',True,True,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,True,True
40,Steak on a Stone,2.5,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",2,True,False,u'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,False,True
41,Montana Mike's,3.0,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",2,True,False,u'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
42,Fazio's Restaurant,3.0,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",3,False,False,u'casual',True,False,u'full_bar',"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
43,Sapporo Japanese Steakhouse,4.0,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",2,True,False,u'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
44,Yokoso Japanese Steakhouse,3.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}",2,True,True,u'casual',True,False,u'full_bar',"{'garage': False, 'street': True, 'validated': False, 'lot': None, 'valet': False}",True,True,True,True,True
45,The Capital Grille,4.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': True, 'classy': True, 'casual': False}",4,True,False,u'dressy',True,False,'full_bar',"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}",False,False,False,False,True
46,Harry Buffalo,2.5,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",2,False,True,u'casual',True,True,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,True,True
47,LongHorn Steakhouse,3.0,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",2,False,False,'casual',True,False,'full_bar',"{'garage': False, 'street': False, 'validated': None, 'lot': True, 'valet': False}",True,True,True,True,True
48,Hibachi Japanese Steakhouse,2.5,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",2,True,False,u'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
49,Firebirds Wood Fired Grill,3.5,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}",2,True,True,'casual',True,False,u'full_bar',"{'garage': True, 'street': True, 'validated': None, 'lot': None, 'valet': False}",True,False,False,True,True
50,Sushi Bomb,4.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",2,False,False,u'casual',True,False,u'beer_and_wine',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
51,Johnny's Italian Steakhouse,3.5,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': True, 'trendy': False, 'upscale': False, 'casual': False}",2,True,True,'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
52,Applebee's Grill + Bar,3.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}",2,False,False,u'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
53,Applebee's Grill + Bar,3.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",2,False,False,'casual',True,True,NaN,NaN,True,True,True,True,True
54,Medina Steak and Seafood Company,3.0,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",3,True,True,u'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,False
55,John Q's Steakhouse,3.5,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': True, 'trendy': False, 'upscale': False, 'casual': False}",3,True,True,u'casual',True,False,u'full_bar',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,False,False,True,True
56,Shula's 2 Steak & Sports,3.0,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",2,True,True,'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,False,True,True
57,Pittsburgh Steak Company,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,True
58,Applebee's Grill + Bar,2.5,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",2,True,False,'casual',True,True,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
59,Quaker Steak & Lube,3.0,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",2,True,True,'casual',True,True,u'full_bar',"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
60,Nouveau Bistro & Lounge,4.0,"{'touristy': False, 'hipster': False, 'romantic': True, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",3,True,True,'dressy',True,False,u'full_bar',"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
61,Texas Roadhouse,3.5,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",2,False,False,u'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
62,LongHorn Steakhouse,3.0,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",2,False,False,u'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
63,LongHorn Steakhouse,3.5,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",NaN,False,False,NaN,True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,NaN,NaN,True,NaN
64,Applebee's Grill + Bar,3.0,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",2,True,False,'casual',True,False,'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,True,True
65,Applebee's Grill + Bar,3.0,"{'touristy': None, 'hipster': False, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': None, 'upscale': None, 'classy': None, 'casual': None}",2,True,False,u'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,True,True
66,Koto Ramen,2.0,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}",2,False,False,'casual',True,True,'none',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,True,True
67,Coach's Club,3.5,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",2,True,True,u'casual',True,False,u'full_bar',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,True,True,True,True
68,XO Seafood & Oysters,3.5,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': True, 'trendy': True, 'upscale': True, 'classy': False, 'casual': False}",3,True,True,u'dressy',True,False,u'full_bar',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': True}",False,False,False,True,True
69,Hellriegel's Inn,2.5,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",2,True,True,'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,True,True
70,Feiler's,3.5,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",1,True,False,u'casual',True,False,'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,False,True
71,Cabin Club,4.0,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': True, 'trendy': False, 'upscale': False, 'casual': False}",3,True,False,'dressy',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,False,True,True
72,Pittsburgh Steak Company,2.5,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",2,True,False,u'casual',True,False,u'full_bar',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,True,True,True,True
73,Applebee's Grill + Bar,2.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",2,True,False,u'casual',True,True,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
74,Great Scott Tavern,4.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': None, 'classy': False, 'casual': True}",2,True,True,u'casual',True,False,u'full_bar',"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': True}",False,True,True,True,True
75,Fitzgerald's,2.5,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",2,True,False,'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
76,Applebee's Grill + Bar,2.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",2,True,False,'casual',True,True,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
77,Texas de Brazil,4.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",3,True,True,'casual',True,True,u'full_bar',"{'garage': True, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
78,Nineteen10,3.5,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",2,True,True,u'casual',True,False,u'full_bar',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",False,True,True,True,True
79,Hyde Park Prime Steakhouse,4.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': True, 'classy': True, 'casual': False}",3,True,False,'dressy',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': True}",False,False,False,True,True
80,Ichiban Hibachi Steakhouse,3.5,"{'touristy': None, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}",2,True,False,'casual',True,False,'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
81,Applebee's Grill + Bar,2.5,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",2,False,False,u'casual',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,True,True,True
82,Porter's Steakhouse,3.5,NaN,3,NaN,NaN,NaN,True,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,Osso Farm Restaurant,3.5,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",NaN,True,True,NaN,True,False,u'full_bar',None,False,NaN,NaN,True,NaN
84,"Miami Nights Grill, Bar, & Lounge",2.5,"{'romantic': False, 'intimate': False, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': True, 'casual': False}",2,True,True,u'dressy',True,False,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': True}",True,False,False,True,True
85,Outback Steakhouse,2.5,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",2,True,True,u'casual',True,True,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
86,Red The Steakhouse,3.0,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': True, 'classy': True, 'casual': False}",4,True,True,u'dressy',True,False,u'full_bar',"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}",True,False,False,True,True
87,Applebee's Grill + Bar,2.5,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': None, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}",2,False,False,'casual',True,True,u'full_bar',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,True,True
88,The Capital Grille,4.0,"{'touristy': False, 'hipster': False, 'romantic': True, 'divey': False, 'intimate': True, 'trendy': False, 'upscale': True, 'classy': True, 'casual': False}",4,True,False,u'dressy',True,False,u'full_bar',"{'garage': None, 'street': None, 'validated': None, 'lot': True, 'valet': False}",True,False,False,True,True
89,Big Red's Steaks,3.5,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",1,False,False,u'casual',True,True,u'none',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,True,True,True,True
