"business_id","name","latitude","longitude","stars","Alcohol","GoodForKids","RestaurantsAttire","RestaurantsDelivery","RestaurantsReservations","Ambience.casual","Ambience.classy"
"88_7allgDYlxedC9jP1j6w","Applebee's Grill + Bar",41.606407,-81.437956,2,"2","1","0","1","1","0","0"
"cAX-srNrvlifjfov_jpQ1w","Texas de Brazil",40.4342885,-80.0052397,4,"2","1","0","1","1","0","1"
"HsAVVdyrzSPORCrpHbMg9g","Nineteen10",41.1521348,-81.3561211,3.5,"2","1","0","0","1","0","1"
"RPe_cSOxq_qkG-LbxBlOyw","Hyde Park Prime Steakhouse",40.446175,-80.0082771,4,"2","0","1","0","1","0","1"
"CLSRz9E-HmQRDwV2_smoDA","Ichiban Hibachi Steakhouse",40.4879535,-79.8869153,3.5,"2","1","0","0","1","1","0"
"KBBXaD0FXDTpFuTuSJ6yHA","Applebee's Grill + Bar",40.429457,-79.811206,2.5,"2","1","0","0","0","0","0"
"axGP6FXAZlBdmdN9juu1tQ","Miami Nights Grill, Bar, & Lounge",41.474456,-81.900658,2.5,"2","0","1","0","1","0","1"
"6keyv1LcbzdD8MCrRaA0nQ","Outback Steakhouse",43.0658872,-89.5239951,2.5,"2","1","0","1","1","1","0"
"qLy2F9EzCsFYIKd40OJvZA","Red The Steakhouse",40.4414139,-79.9947082,3,"2","0","1","0","1","0","1"
"x_AmiOc8DPAyHe5VeoDYEw","Applebee's Grill + Bar",40.426319,-79.888904,2.5,"2","1","0","1","0","1","0"
"fROpvJ_V9q6dAXbi4VwtoA","The Capital Grille",41.502243,-81.5014604,4,"2","0","1","0","1","0","1"
"WwQ0sr3wDk2jCMre_3mS7A","Big Red's Steaks",43.0733361,-89.396349,3.5,"0","1","0","1","0","0","0"
"z9raV7X7cMhGhsOP-bxr7A","Wasabi Japanese Steakhouse",41.4001282,-81.6620998,3.5,"2","1","0","0","1","0","1"
"QqbZA4r5g1vCbOxOAKJgWg","Tessaro's",40.462808,-79.9506473,4,"2","1","0","0","0","1","0"
"1p6qHrapvuKpbZGLT9qskw","El Patio",40.0818267,-88.296002,3.5,"2","1","0","1","0","0","0"
"CpNMXASiwtJv5eCDf0n63g","Alexander's Steakhouse",40.136796,-88.245076,3,"2","1","0","0","1","0","0"
"jqBUVAWJRJ6QIGXVuhdVvw","Cadillac Ranch",40.4394024356,-80.1478385925,2.5,"2","1","0","1","1","1","0"
"oq9bF1KUzSldObMSQ_aalQ","Quaker Steak & Lube",41.400715,-81.625622,3,"2","1","0","1","1","1","0"
"NmGY7zhoEUqO_0KxvBocTw","Local Tavern",41.7284579,-81.2564865,3.5,"2","1","0","0","1","0","0"
"AEUzqUECmLCrPkIS9ryDCw","Applebee's Grill + Bar",41.519648,-81.475151,2.5,"2","1","0","1","0","0","0"
"-bHpvkmiFzm_swHLYsGiqw","Ken Stewart's Grille",41.1133044,-81.5786112,4,"2","0","1","0","1","0","1"
"nv1XdkWviHXO7N6mK8O1yg","Don's Lighthouse",41.484518,-81.746095,3.5,"2","0","0","0","1","0","1"
"c3FFDloejdmsPZti7wjR0g","Texas Roadhouse",41.389171,-82.106366,3,"2","1","0","0","0","1","0"
"p26WM22RrRvkyEztJd57ag","Urban Roadhouse",41.6740925,-81.3247251,3.5,"2","1","0","0","1","1","0"
"xSgXMxqfA9VXGHYb9NC9vg","The Flying Rib",41.4771228,-81.7729576,3.5,"2","0","0","0","0","0","0"
"_dcX-gXs3VxTBmURWdnTOw","Buck & Honeys",43.199587,-89.226091,3.5,"2","1","0","0","1","1","0"
"33aNXOprvIR-rtxKTUNBbQ","LongHorn Steakhouse",41.1346694,-81.6536064,3.5,"2","1","0","0","0","1","0"
"fja2EnaSxKu1D7uctMhw-w","Red The Steakhouse",41.4985864,-81.6895733,4,"2","0","1","0","1","0","1"
"GatUelEiMO2tShY16y6Zrg","Applebee's Grill + Bar",41.409718,-81.619864,2.5,"2","1","0","1","0","0","0"
"w6F502EKMyn3ONbGT2bQxw","Pickle Bill's Lobster House",41.7422812666,-81.2812566164,3,"2","1","0","0","1","1","0"
"wHG_iKBpUfizBFIGqoaUnQ","Fleming's Prime Steakhouse - Woodmere",41.462988,-81.4739017,3.5,"2","0","1","0","1","0","1"
"UCJpL9VFk3g1B2gjRlLy_g","Ditka's Restaurant",40.448472,-80.163196,3.5,"2","0","0","0","1","0","1"
"PeATTp15Y_ExaN6mR1dmKw","Quaker Steak & Lube",40.4505157938,-80.1756812708,3,"2","1","0","1","1","1","0"
"S7ECG2HNltSWFo1FcFTwFQ","Outback Steakhouse",40.331151,-80.068668,3,"2","1","0","1","1","1","0"
"weWbz-uCwB9_tHMrSGZAZQ","LongHorn Steakhouse",41.4003558,-81.6626427,3.5,"2","1","0","0","0","1","0"
"Occo0_pOXAUG-eL6gazeGQ","Applebee's Grill + Bar",41.461461,-81.689881,2,"2","1","0","1","0","0","0"
"h_UvnQfe1cuVICly_kIqHg","Johnny Delmonico's Steakhouse",43.0740207,-89.3813538,4,"2","0","1","1","1","0","1"
"EXIZwIxLoiPDJs-oKzgaKw","Steak ’n Shake",41.4496327,-81.8178634,2,"0","1","0","0","0","1","0"
"YohEZMYpKrf-3fyPASKLew","Texas Roadhouse",43.133746,-89.298753,3.5,"2","1","0","0","0","1","0"
"KK5Hvy2JNjXpdO_zHA_LCA","Prime Quarter Steak House",43.1151959,-89.3281732,4,"2","0","0","0","1","0","0"
"gVrOjfdnijDwxivLTHiBAg","Applebee's Grill + Bar",41.428561,-82.204543,2.5,"2","1","0","0","1","1","0"
"RfM6jDn16Qf8eVz2vJTdbw","Henry Wahner's Restaurant & Lounge",41.1544421,-81.33603,3.5,"2","1","0","0","0","1","1"
"wHy5uBfkwEAbf-6UbZT6lw","The Captain's Club",41.6420348,-81.4394437,3,"2","1","0","0","1","0","0"
"2U3KaC0sIFeugvSm0c2fJA","LongHorn Steakhouse",41.1650605,-81.8627817,3.5,"2","1","0","0","0","1","1"
"62b0uHo9uaSsoOMQFG55jg","Sammy's Famous Corned Beef",40.4391575,-79.9989143,2.5,"1","0","0","0","0","0","0"
"p3DmeeCNz-BdijenlxGI2A","Outback Steakhouse",40.4383688,-79.7594217,3,"2","1","0","1","1","1","0"
"30ibZa6RLsrdhmCUeoS7tQ","Texas Roadhouse",40.5620812755,-80.0259171054,3.5,"2","1","0","0","0","1","0"
"0gbi6kYiAOnFwfZ_2_dXSA","Hyde Park Prime Steakhouse",41.4632516,-81.4933324,4,"2","0","1","0","1","0","1"
"LJwS9epPXXvzel7bZ616Gg","Marble Room Steaks and Raw Bar",41.5003939675,-81.688814641,4,"2","0","1","0","1","0","1"
"3rlMsFJE8MjHE4K2ABkQFw","Tavolo 72",41.3699534,-81.8256366,3.5,"2","0","0","1","1","0","0"
"Ef0WLuzSbnSuIKu5i-Z2_g","Outback Steakhouse",40.4573706,-80.1791796,3.5,"2","1","0","0","1","1","1"
"PXJkqZGaC5qxhJTVQodN_w","Harry's Steakhouse & Banquet Center",41.4083787,-81.6408735,3.5,"2","1","0","0","1","1","0"
"DzVv_g6xsLbMh66HtiZK3A","Coal Hill Steakhouse at Grandview Saloon",40.4381076,-80.0185368,2,"2","0","0","0","1","0","0"
"wyAKcdWQCXudHY30M0Tq4Q","Applebee's Grill + Bar",41.418781,-81.901834,3,"2","1","0","1","1","0","0"
"6RmdqLK1H5aodAA8t7Yl2A","LongHorn Steakhouse",40.404148,-79.918819,3,"2","1","0","0","0","1","0"
"1HtxtLaFgTeerAuF9Q5jRQ","Lone Star Steakhouse",40.3502247038,-79.9411557,3,"2","1","0","0","0","0","0"
"vOY6w1Q45Iod8sy2c8zetg","Red, the Steakhouse",41.4524011,-81.486308,4,"2","0","1","1","1","0","1"
"TNV-nSWQ_pN6wrMwAgxSkA","Mc Govern's Club and Restaurant",43.1824466,-89.2275169,3,"2","1","0","0","1","0","0"
"XTB-U4e2MCDzyRQ1EpPtLA","Lone Star Steakhouse",41.4150377,-81.8995466,2,"2","1","0","0","1","1","0"
"hP2DOm7E2H4P7MOS7XN_SQ","Hamilton Walker's",40.117491,-88.243875,3.5,"2","0","0","1","1","0","1"
"jUddhNjGAE6W7MQKaUEZ4Q","Ryan's",40.136306,-88.2619969,2,"0","1","0","0","1","1","0"
"jWlErd3TOkO4C0MgP8eDvw","Bella Vista",40.4379704,-80.0183184,3,"2","0","1","0","1","0","0"
"2zx0Pt5OeHhjAZoNRqYTog","Fuegos - Steak Tapas Vegan",43.0797595,-89.369608,3.5,"2","1","0","1","1","1","1"
"OHKLSUanPcaAQMYkHDBdSw","Applebee's Grill + Bar",41.118674,-81.476827,2,"2","1","0","1","0","0","0"
"LWk7Q5CTjpK-k_TfXdbApQ","Brasa Grill",41.4988193,-81.7008219,3,"2","0","1","0","1","0","1"
"gtGn5hnHRAnGgfCiTcdj0A","Hibachi Japanese Steakhouse",41.4411018,-81.8608528,2.5,"2","1","0","0","1","0","0"
"JKAYcu_1UPHTyquCZCKPaw","Strip",41.453573,-82.033843,4,"2","0","0","0","1","0","1"
"uWL8onvbR7WFJU7BGZ1a2A","Fiore's Italian Steakhouse",41.1335789823,-81.6536120516,2,"2","1","0","0","1","0","0"
"H-wMVXewXX8DmY7uF2pwYA","Cork's and Stubby's",41.3981655,-82.2264716,3,"2","0","0","0","1","0","0"
"PKjdnTWQSygpOjlWl8VzrQ","Whistlers Kitchen & Bar Wood-Fired",41.4535031,-82.0330224,4,"2","1","0","0","0","1","0"
"_vu7qhaHRo0k8gnkojZD_g","Fujiyama Steakhouse & Sushi Bar",41.4683699,-82.0155941,3,"2","1","0","0","1","1","1"
"YbgEzqyH-nngJMZO0dY0iA","Clearview Restaurant & Pub",41.2019564,-81.6383576,3.5,"2","1","0","0","1","0","1"
"9BQGpsIRhs9cRHuGh9xuJw","Toko Japanese Steak House",41.1554880172,-81.3269842509,3.5,"0","1","0","0","1","1","0"
"LFdlt3HzTGGvzgfwzYjCVw","Pacers Sports Bar & Grille",41.675955,-81.315428,3.5,"2","1","0","0","1","1","0"
"bJGtHxejEJboO2o_DtaPEQ","Applebee's Grill + Bar",40.267996,-80.128261,3,"2","1","0","0","0","0","0"
"eROPfqFhqHh2wDvz-5O9QQ","Ichiban Hibachi Steakhouse & Sushi Bar",40.269682,-80.12658,3.5,"2","1","0","0","1","0","0"
"3YrySY6jiAJO1N7LbjsI_Q","Bianca's Ristorante Italiano & Lounge",41.2671388,-81.840153,2.5,"2","1","0","1","1","1","0"
"QT4ax7JkGZma8oMy5j8t2w","DragonFire Steakhouse",40.357621,-80.0503804,2.5,"2","1","0","0","1","0","0"
"3jKaeGaw_iVz1oEqpoRqsQ","Applebee's Grill + Bar",41.156457,-81.407726,3.5,"2","1","0","0","0","1","0"
"tORH_LDga3t1bbuluhuxiQ","Smoky's Club",43.0749956,-89.4416756,3,"2","0","0","0","1","0","1"
"QToLw4ijAdErQ906aqr5aw","Nemo Grille",41.4521407,-82.0347739,4.5,"2","0","0","0","1","0","0"
"t2O4Qx74U_IfBzDHJzvUCA","Urban Farmer",41.5036701,-81.691598,3.5,"2","1","0","1","1","0","1"
"HBX4hBNcOYwAJ2kAWebtbA","Texas De Brazil",41.4629049,-81.4799889,4,"2","1","0","1","1","1","1"
"ZvEJiX8HBIForfbHOfqpmQ","Skyvue Restaurant",40.3505751,-79.9231862,3.5,"2","1","0","0","1","1","1"
"1njD5p7-FvV8uoHzwiVYCA","LongHorn Steakhouse",41.6823019,-81.2976018,3.5,"2","1","0","0","0","0","0"
"6sCdVRtmhJgNqKh9Vx6JXw","Tavern At Twin Lakes",41.1950389,-81.3378521,3,"2","1","0","0","1","1","0"
"qQMvHvHnVIEHaOSxTEIu9A","The Hilltop",43.0847455388,-89.6559139572,3.5,"2","1","0","0","1","0","0"
"sz6_gKcHjtcpWKIZLXV85w","or, The Whale",40.4375331903,-79.998808,4,"2","0","0","0","1","1","1"
"h-d71agFCi1IFWaaxPCwYA","Wise Guys Lounge & Grill",41.1130118,-81.5106744,4,"2","0","0","0","1","1","0"
"7bQU0QI_YID3MgZirZHmSg","Jekyll's Kitchen",41.4313496171,-81.3927800884,3.5,"2","0","1","0","1","0","1"
"nTj1Yi5TyRErrP8k8H3C3g","Kavanaugh's Esquire Club",43.111265,-89.363442,3,"2","1","0","0","1","0","1"
"TNgqPThc9_MwgSIdsZIUjQ","Delmonico's Steakhouse",41.39469,-81.648719,3.5,"2","0","1","0","1","0","1"
"_6b9CtXi4fQqiu2VjCVpTQ","Outback Steakhouse",43.128671,-89.3063473,3,"2","1","0","0","1","0","0"
"r0DureDzsHpzs_VZem5k7g","Outback Steakhouse",41.474908,-81.8956237,3,"2","1","0","1","1","1","0"
"NSzhahVpI_B32snhJHM0HA","Texas Roadhouse",40.117932,-88.2810949,4,"2","1","0","0","0","1","0"
"xTID0KVkR_H2v23LsdM02A","Steak ’n Shake",41.1335713078,-81.643151,2.5,"0","1","0","0","0","1","0"
"g6aWPjcKukfK1-Po70Lhyw","Wonder Bar Steakhouse",43.052432,-89.379756,3.5,"2","0","1","0","1","0","1"
"Mb4V2aPneclZZ8BfZUjWGA","Ken Stewart's East Bank",41.5007302384,-81.7043933334,3.5,"2","0","1","0","1","0","0"
"SNNrb5T4dn3DMq410HIpxw","Gamekeeper's Taverne",41.43171,-81.39355,3.5,"2","0","0","0","1","0","0"
"bkh5o6bCzDCovSkRYBsU1w","LongHorn Steakhouse",40.1413941,-88.2584758,3,"2","1","0","0","0","1","0"
"_ta7UaBqMTcF25JZy_5YHQ","Applebee's Grill + Bar",41.308429,-81.516664,2.5,"2","1","0","0","1","0","0"
"Im0hMcWaqWIzuBM8xILDsA","Trivs",41.3139309,-81.819294,4,"2","1","0","0","1","0","1"
"8y2TWfFWt_OCJemAJniORQ","Shogun Japanese Steak House",41.6234996,-81.4441874,3.5,"1","1","0","0","1","1","0"
"EKUdxxPirhQgwHI9OpY0FQ","Wasabi Japanese Steakhouse",41.397313,-82.112262,3,"2","1","0","0","1","0","0"
"nxAo0oDgsNlduzUuuUL4Fg","Steak ’n Shake",40.4134446,-79.9044468,2,"0","1","0","0","0","1","0"
"2ALi7ZYvil-BAXFa3CMUyA","Shinto Japanese Steakhouse & Sushi Bar",41.293935,-81.835899,3.5,"2","1","0","0","1","1","0"
"AplxT8Xq5C1-Edt56FNq3A","Applebee's Grill + Bar",41.162787,-81.861581,1.5,"2","1","0","0","0","0","0"
"JLbgvGM4FXh9zNP4O5ZWjQ","Meat & Potatoes",40.4431445863,-80.0011037908,4,"2","1","0","0","1","0","1"
"ndzT1maiVwpz-7VFFzAb5Q","Eddie V's Prime Seafood",40.43994,-79.996847,4.5,"2","0","1","0","1","0","1"
"w1c_Uy60LSDiMsSjAsEqkw","Rumfish Grille",40.3683930071,-80.1065956659,3,"2","0","0","0","1","0","0"
"AEoWScs-gYsXSUUmDbseFg","The Cabin of Willowick",41.6291087,-81.4836299,3.5,"2","0","0","1","1","0","0"
"JBkc2Xof8yietmHQLs62aQ","Eddie Merlot's - Pittsburgh",40.440898,-80.0046248,4,"2","0","1","0","1","0","1"
"cs-bfjBie4uwCW99yZmlqw","LongHorn Steakhouse",40.5702237445,-79.7974224031,3.5,"2","1","0","0","0","0","0"
"qw6gr0f7yIuG5WCcYLQBSA","Bistro 70",41.7268783,-81.2429631,4.5,"2","0","0","0","1","1","1"
"MQXFdfDb1UjrZngnjslmhA","Outback Steakhouse",41.312926,-81.5161822,2.5,"2","1","0","1","0","1","0"
"9ismhhkIPREHOo8tJi0ETA","Ruth's Chris Steak House",43.0974604,-89.5229994,3.5,"2","0","1","0","1","0","1"
"qb8TiKsNTUqq4P-u6zQLDg","Atria's Restaurant",40.265839,-80.1280336,3.5,"2","1","0","1","1","0","1"
"CgsUUVwL8EBqcHFxrtkFtA","Quaker Steak & Lube",41.6577255335,-81.3782529441,3,"2","1","0","0","1","1","0"
"CySpYWrovIOGh7hdz9ahOQ","Dragonfly Lounge",41.4859322,-81.704615,4,"2","0","0","0","1","0","0"
"jzr6jW5cQ0jpPhEo4kGMBw","LongHorn Steakhouse",43.0594110063,-89.5035026245,3.5,"2","1","0","0","0","1","0"
"k1FNfGvknWVC_GzirQThmA","Outback Steakhouse",41.6581921,-81.3644696,2.5,"2","1","0","1","1","1","0"
"iSOaf_-deg1nIlCm3cuzvg","Capitol ChopHouse",43.072890586,-89.3805208454,3.5,"2","0","1","0","1","0","1"
"Wj-73Uu3U79CGK_H_kyAsg","Quaker Steak & Lube",40.4973775273,-80.2437835566,3,"2","1","0","0","0","1","0"
"lrL8WPWBesBm2cfUoLvwJA","LongHorn Steakhouse",41.1195369,-81.4784828,3.5,"2","1","0","0","0","1","0"
"gv47gtyCkw_8OyexHrqdDA","Rare Steakhouse",43.0752825,-89.3861265,4,"2","0","1","0","1","0","1"
"f64hS5UYq102ApvdYUf9nA","Applebee's Grill + Bar",41.395622,-82.107428,3,"2","1","0","1","0","1","0"
"g0APw_zhwwHoLjSlHEsTzw","Applebee's Grill + Bar",41.378349,-81.789168,2.5,"2","1","0","1","0","0","0"
"ihTl21FfAYXzGoM-Gu8U3A","Shuhei",41.4640061,-81.5141728,4,"2","1","0","0","1","1","0"
"Y1Y5aSg5YUFHkpqUnkydig","Applebee's Grill + Bar",41.399787,-81.661373,3,"2","1","0","0","0","1","0"
"jdIVIQeNBDyYCpFIy52Cgg","Bratenahl Place Bistro",41.5535852468,-81.6056878286,4.5,"2","0","0","0","1","0","1"
"UDqYqhDaW96-y7l79VMODw","Applebee's Grill + Bar",40.3912084505,-80.069188,3,"2","1","0","1","1","0","1"
"VwCtpOYiCKA5VXbKZhCSVA","Morton's The Steakhouse",40.4423828266,-80.000872314,3.5,"2","0","1","0","1","0","1"
"QRSmjSpB6Yn5iNS6q88tNg","Ginza Sushi House",41.4966072,-81.6818193,3.5,"1","1","0","1","1","1","0"
"3R6UGi7SU-rHc8FO2VZ29Q","LongHorn Steakhouse",41.3123585,-81.8207402,3,"2","1","0","0","0","1","0"
"GDWZh4LMDiUXHcZV3XJRww","The Groove Cheesesteak Co",40.4283701,-79.9775372,3,"1","1","0","0","0","0","0"
"ntds2JP29DPYp765oFqptw","Rusty Anchor",41.498251,-81.706988,3.5,"2","0","0","0","1","0","0"
"wTjRn-n2wr6aLkNqFIuAGQ","Armstrong's",40.3596095475,-80.0024414062,3.5,"2","1","0","0","1","1","0"
"EsjY-B1wh76hK6G6deH1hw","Prime Rib Steakhouse",41.497577,-81.698517,3.5,"2","0","1","0","1","0","1"
